CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
04/18/2022,12:30,MANHATTAN,10019,40.765728,-73.98359,"(40.765728, -73.98359)",,,938       8 AVENUE,1,0,1,0,0,0,0,0,Following Too Closely,,,,,4520216,E-Scooter,,,,
04/18/2022,6:25,BROOKLYN,11210,40.63743,-73.95254,"(40.63743, -73.95254)",,,1369      FLATBUSH AVENUE,0,0,0,0,0,0,0,0,Other Vehicular,Passing Too Closely,,,,4520778,Station Wagon/Sport Utility Vehicle,,,,
04/18/2022,11:30,,,40.607212,-74.07682,"(40.607212, -74.07682)",NARROWS ROAD NORTH,HYLAN BOULEVARD,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4520367,Sedan,Sedan,,,
04/18/2022,16:00,QUEENS,11004,40.746643,-73.711784,"(40.746643, -73.711784)",260 STREET,79 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4520116,Sedan,Station Wagon/Sport Utility Vehicle,,,
04/18/2022,5:10,,,40.733425,-73.97447,"(40.733425, -73.97447)",FDR DRIVE,,,0,0,0,0,0,0,0,0,Obstruction/Debris,,,,,4519960,Taxi,,,,
04/18/2022,16:00,STATEN ISLAND,10304,40.60415,-74.091156,"(40.60415, -74.091156)",TARGEE STREET,HAY STREET,,1,0,0,0,0,0,1,0,Unsafe Lane Changing,Unspecified,Unspecified,,,4520160,Sedan,Sedan,Pick-up Truck,,
04/18/2022,20:40,,,40.760284,-73.769356,"(40.760284, -73.769356)",BELL BOULEVARD,,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4520149,Station Wagon/Sport Utility Vehicle,Sedan,,,
04/18/2022,21:45,BRONX,10452,40.840874,-73.91979,"(40.840874, -73.91979)",WEST 170 STREET,CROMWELL AVENUE,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4520210,Sedan,Motorbike,,,
04/18/2022,23:15,,,40.80522,-73.93214,"(40.80522, -73.93214)",HARLEM RIVER DRIVE,,,0,0,0,0,0,0,0,0,Unspecified,,,,,4520261,Station Wagon/Sport Utility Vehicle,,,,
04/18/2022,23:50,BRONX,10474,40.812836,-73.88796,"(40.812836, -73.88796)",,,634       MANIDA STREET,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4520681,Sedan,Station Wagon/Sport Utility Vehicle,,,
